CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name

=== Aggregate Counters ==============================================================================================================================

        63x         63x          0x |        4.0s        0.1s        4.0s        0.0s | ABC
       122x         64x          0x |        6.6s        0.2s        6.5s        0.0s | BLS
         0x                         |        0.0s                                     | CBdd
        64x                         |        0.4s        0.0s                         | CGEN_BIT_BLAST
      5281x                         |        0.9s        0.0s                         | CGEN_GENERATE_COMPONENT
     24494x                         |        0.0s        0.0s                         | CMDs
        69x          5x         64x |        1.8s        0.1s        0.1s        1.7s | CUT_MGR
        64x         64x          0x |        4.1s        0.1s        4.1s        0.0s | CalyptoSAT
        64x                         |        0.6s        0.0s                         | CutMgr
       283x        232x         51x |        2.3s        0.1s        1.0s        1.2s | MCH
       443x                         |        0.0s                                     | MCHSOL_FALSIFIED
       576x                         |        0.0s                                     | MCHSOL_POSED
      2007x                         |        0.2s        0.0s                         | OPT_CONST_PROP
      2007x                         |        0.4s        0.0s                         | OPT_CSE
      2007x                         |        0.1s        0.0s                         | OPT_DEAD_CODE
         3x                         |        0.1s        0.0s                         | OPT_UF_CONST_PROP
         3x                         |        0.0s        0.0s                         | OPT_UF_DEAD_CODE1
         3x                         |        0.0s        0.0s                         | OPT_UF_RED_BSEL_CONCAT
         3x                         |        0.1s        0.0s                         | OPT_UF_STR_REDUX
        37x                         |        0.0s                                     | ReadCounterExampleFromFile
       566x        268x          0x |        9.4s        0.6s        8.0s        0.0s | SLS_CFF_HS
        58x         58x          0x |        6.8s        0.6s        6.8s        0.0s | SOLVE_OUT::BLS
        58x          0x         58x |        0.0s        0.0s        0.0s        0.0s | SOLVE_OUT::WLS
         2x                         |        0.0s        0.0s                         | SUBSESSIONS
         2x                         |        1.2s        0.6s                         | TOP
       910x                         |        0.0s                                     | TOP::CMDs
         6x                         |        0.0s                                     | TOP::CMDs::__cdb_exists
        16x                         |        0.0s                                     | TOP::CMDs::__is_powerpro
         2x                         |        0.0s                                     | TOP::CMDs::_check_fsdb_reader_writer
         6x                         |        0.0s                                     | TOP::CMDs::_get_state
         4x                         |        0.0s                                     | TOP::CMDs::_get_user_level
         6x                         |        0.0s                                     | TOP::CMDs::_issue_msg
        32x                         |        0.0s                                     | TOP::CMDs::_log_env_access
         6x                         |        0.0s                                     | TOP::CMDs::_set_command_access
        60x                         |        0.0s                                     | TOP::CMDs::append_global
         4x                         |        0.0s                                     | TOP::CMDs::calypto_product
         2x                         |        0.0s                                     | TOP::CMDs::cpt::get_language
         6x                         |        0.0s                                     | TOP::CMDs::cpt::linked
         2x                         |        0.2s        0.1s                         | TOP::CMDs::cpt::mixed_lang_to_cpt
         2x                         |        0.8s        0.4s                         | TOP::CMDs::cpt::read_mixed_lang
         8x                         |        0.0s                                     | TOP::CMDs::disable_msg
        12x                         |        0.0s                                     | TOP::CMDs::get_cpu_usage
       226x                         |        0.0s                                     | TOP::CMDs::get_global
         8x                         |        0.0s                                     | TOP::CMDs::get_mem_usage
         2x                         |        0.8s        0.4s                         | TOP::CMDs::read_design
         2x                         |        0.8s        0.4s                         | TOP::CMDs::read_verilog
       210x                         |        0.0s                                     | TOP::CMDs::set_global
         8x                         |        0.0s                                     | TOP::CMDs::set_verbosity
         2x                         |        0.0s                                     | TOP::CMDs::set_verification_mode
       138x                         |        0.2s                                     | TOP::CMDs::source
       140x                         |        0.2s        0.1s                         | TOP::CMDs::tcl_source
         0x                         |        0.0s                                     | WLS
         1x                         |        0.0s        0.0s                         | __annotate_default_sa_vectorless_flow
