#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by PowerPro-10.3c_2/849904   (Jan 10 2020)  linux64  P2001101230        |
#| on Tue Jul 13 11:46:34 2021.                                                      |
#|                                                                                   |
#| This document may be used and distributed without restriction provided that       |
#| this copyright statement is not removed from the file and that any derivative     |
#| work contains this copyright notice.                                              |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

Cell-Name                         Cell-Type     Cell-Count    Cell-Area          Cell-Lkg-Power     Cell-Function                Library-Name                                                
---------                         ---------     ----------    ---------          --------------     -------------                ------------                                                
NAND4_X1                          comb          239           1.33               1.81268e-05        !(((A1&A2)&A3)&A4)           NangateOpenCellLibrary                                      
AOI222_X1                         comb          158           2.128              4.73988e-05        !(((A1&A2)|(B1&B2))|(C1&C2))    NangateOpenCellLibrary                                      
OAI222_X1                         comb          99            2.128              4.31779e-05        !(((A1|A2)&(B1|B2))&(C1|C2))    NangateOpenCellLibrary                                      
OAI33_X1                          comb          13            1.862              4.83139e-05        !(((A1|A2)|A3)&((B1|B2)|B3))    NangateOpenCellLibrary                                      
NOR4_X1                           comb          72            1.33               3.26015e-05        !(((A1|A2)|A3)|A4)           NangateOpenCellLibrary                                      
AOI221_X1                         comb          82            1.596              4.17412e-05        !(((C1&C2)|A)|(B1&B2))       NangateOpenCellLibrary                                      
AOI211_X1                         comb          105           1.33               3.45657e-05        !(((C1&C2)|B)|A)             NangateOpenCellLibrary                                      
OAI221_X1                         comb          1223          1.596              3.39377e-05        !(((C1|C2)&A)&(B1|B2))       NangateOpenCellLibrary                                      
OAI211_X1                         comb          52            1.33               2.20391e-05        !(((C1|C2)&A)&B)             NangateOpenCellLibrary                                      
NAND3_X1                          comb          68            1.064              1.81048e-05        !((A1&A2)&A3)                NangateOpenCellLibrary                                      
AOI22_X1                          comb          322           1.33               3.26119e-05        !((A1&A2)|(B1&B2))           NangateOpenCellLibrary                                      
OAI22_X1                          comb          905           1.33               3.40261e-05        !((A1|A2)&(B1|B2))           NangateOpenCellLibrary                                      
NOR3_X1                           comb          68            1.064              2.68317e-05        !((A1|A2)|A3)                NangateOpenCellLibrary                                      
OAI21_X1                          comb          272           1.064              2.26194e-05        !(A&(B1|B2))                 NangateOpenCellLibrary                                      
NAND2_X1                          comb          136           0.798              1.73934e-05        !(A1&A2)                     NangateOpenCellLibrary                                      
NOR2_X1                           comb          1559          0.798              2.11995e-05        !(A1|A2)                     NangateOpenCellLibrary                                      
XNOR2_X1                          comb          45            1.596              3.6441e-05         !(A^B)                       NangateOpenCellLibrary                                      
AOI21_X1                          comb          114           1.064              2.78584e-05        !(A|(B1&B2))                 NangateOpenCellLibrary                                      
INV_X1                            inv           2722          0.532              1.43532e-05        !A                           NangateOpenCellLibrary                                      
AND4_X1                           comb          78            1.596              2.70248e-05        (((A1&A2)&A3)&A4)            NangateOpenCellLibrary                                      
OR4_X1                            comb          32            1.596              2.67335e-05        (((A1|A2)|A3)|A4)            NangateOpenCellLibrary                                      
AND3_X1                           comb          36            1.33               2.64815e-05        ((A1&A2)&A3)                 NangateOpenCellLibrary                                      
OR3_X1                            comb          13            1.33               2.44146e-05        ((A1|A2)|A3)                 NangateOpenCellLibrary                                      
AND2_X1                           comb          711           1.064              2.50661e-05        (A1&A2)                      NangateOpenCellLibrary                                      
OR2_X1                            comb          68            1.064              2.2695e-05         (A1|A2)                      NangateOpenCellLibrary                                      
XOR2_X1                           comb          61            1.596              3.61637e-05        (A^B)                        NangateOpenCellLibrary                                      
FA_X1                             comb          288           4.256              7.57622e-05        (l&r)|(l&ci)|(r&ci),l^r^ci    NangateOpenCellLibrary                                      
BUF_X1                            buf           182           0.798              2.14382e-05        A                            NangateOpenCellLibrary                                      
BUF_X2                            clk_buf       68            1.064              4.30608e-05        A                            NangateOpenCellLibrary                                      
CLKGATE_X1                        cgic          126           3.458              4.86473e-05        N/A                          NangateOpenCellLibrary                                      
DFF_X1                            flop          3447          4.522              7.91123e-05        iq,iqn                       NangateOpenCellLibrary                                      
HA_X1                             comb          63            2.66               6.12297e-05        l&r,l^r                      NangateOpenCellLibrary                                      
AND2_X1                           comb          211           1.064              2.50661e-05        l&r                          NangateOpenCellLibrary                                      
