CalyptoResourceStats

      total        good         bad |       total         max        good         bad | name

=== Aggregate Counters ==============================================================================================================================

         0x                         |        0.0s                                     | CBdd
      2784x                         |        1.0s        0.3s                         | CGEN_GENERATE_COMPONENT
      3403x                         |        0.0s        0.0s                         | CMDs
       449x                         |        0.2s        0.0s                         | OPT_CONST_PROP
       449x                         |        0.3s        0.1s                         | OPT_CSE
       449x                         |        0.1s        0.0s                         | OPT_DEAD_CODE
        91x                         |        0.1s        0.0s                         | OPT_UF_CONST_PROP
        91x                         |        0.0s        0.0s                         | OPT_UF_DEAD_CODE1
        91x                         |        0.0s        0.0s                         | OPT_UF_RED_BSEL_CONCAT
        91x                         |        0.1s        0.0s                         | OPT_UF_STR_REDUX
         1x                         |        0.0s        0.0s                         | __annotate_default_sa_vectorless_flow
         1x                         |        0.0s        0.0s                         | __assign_hier_depths
         1x                         |        0.0s        0.0s                         | __auto_infer_clocks
         1x                         |        0.7s        0.7s                         | __calc_all_seq_power
         1x                         |        0.0s        0.0s                         | __cdb_resolve_power_intent
         1x                         |        0.0s        0.0s                         | __generate_identity_powerpro_maps
         4x                         |        0.0s        0.0s                         | __handle_complex_clocks
         2x                         |        0.0s        0.0s                         | __handle_constant_clocks
         1x                         |        0.0s        0.0s                         | __handle_dw_comp
         1x                         |        0.0s        0.0s                         | __has_inout
       121x                         |        0.0s        0.0s                         | __is_powerpro
         1x                         |        0.0s        0.0s                         | __mark_clock_fanin_constraints
         1x                         |        0.0s        0.0s                         | __mark_constraint_on_const_flops
         1x                         |        0.0s        0.0s                         | __mark_constraint_on_internal_flops
         1x                         |        0.0s        0.0s                         | __mark_constraints_on_power_domain_boundary
         1x                         |        0.0s        0.0s                         | __mark_constraints_on_power_opt_ports
         2x                         |        0.0s        0.0s                         | __multiple_instance_prop_on_hier
         1x                         |        0.0s        0.0s                         | __opt_constrain_memories
         1x                         |        0.0s        0.0s                         | __optimize_libcells
         1x                         |        0.0s        0.0s                         | __pa_batched_mem_ctrl_sim
         1x                         |        0.0s        0.0s                         | __pa_cmd_compare_clk_period_with_td
         3x                         |        0.0s        0.0s                         | __pa_cmd_get_pow_detail
         1x                         |        0.0s        0.0s                         | __pa_do_phy_based_setup
         1x                         |        0.0s        0.0s                         | __pa_name_matching_based_netcap_annotation
         1x                         |        0.0s        0.0s                         | __pa_preserve_user_sa_during_miter
         1x                         |        0.0s        0.0s                         | __phy_create_models_from_spef
         1x                         |        0.0s        0.0s                         | __phy_get_info
         1x                         |        0.0s        0.0s                         | __phy_spef_sanity
         1x                         |        0.0s        0.0s                         | __postprocess_multi_vth_constraint
         1x                         |        0.0s        0.0s                         | __process_hier_power_models
         1x                         |        0.0s        0.0s                         | __process_memories
         1x                         |        0.0s        0.0s                         | __propagate_user_sa_across_buf_inv
         1x                         |        0.0s        0.0s                         | __set_default_sa_inout_bbox_ports
         1x                         |        0.0s        0.0s                         | __sls_check_mem_tech_cell_area
         1x                         |        0.0s        0.0s                         | __sls_check_poweropt
         2x                         |        0.0s        0.0s                         | __sls_flops_clock_gated_percentage
         1x                         |        0.0s        0.0s                         | __sls_fsdb_vcd_saif_executed
         3x                         |        0.0s        0.0s                         | __sls_generate_synchronizer_scheme_files
         1x                         |        0.0s        0.0s                         | __sls_is_cg_mg_optimization_allowed
         2x                         |        0.0s        0.0s                         | __sls_perform_case_anal_clk_ntwk
         2x                         |        0.0s        0.0s                         | __sls_preserve_port_prob
         2x                         |        0.0s        0.0s                         | __sls_process_verification_global
